nazwa_instytucji,badges,lokalizacja,adres,rodzaj_dzialalnosci,ilosc_miejsc,wpis_krdo,strona
DPS dla Dorosłych prowadzony przez Zgromadzenie Braci Albertynów Częstochowa,,Częstochowa,"Świętej Jadwigi 84/86,
									42-200
									Częstochowa",dorośli niepełnosprawni intelektualnie (Publiczny),82,2412/KR - 2021,162
DPS dla Dorosłych im. św. Brata Alberta Poraj,,Powiat myszkowski,"Jasna 6,
									42-360
									Poraj",dorośli niepełnosprawni intelektualnie (Publiczny),100,2413/KR - 2021,162
DPS prowadzony przez Zgromadzenie Sióstr Miłosierdzia św. Karola Boromeusza Siemianowice Śląskie,,Siemianowice Śląskie,"Maciejkowicka 8,
									41-103
									Siemianowice Śląskie",dorośli niepełnosprawni intelektualnie (Publiczny),44,2414/KR - 2021,162
Caritas Archidiecezji Katowickiej DPS Święty Antoni Świętochłowice,,Świętochłowice,"Biskupa Teodora Kubiny 11,
									41-600
									Świętochłowice",dorośli niepełnosprawni intelektualnie (Publiczny),78,2415/KR - 2021,162
DPS prowadzony przez Ojców Kamilianów Zbrosławice,,Powiat tarnogórski,"Wolności 34,
									42-674
									Zbrosławice",dorośli niepełnosprawni intelektualnie (Publiczny),95,2416/KR - 2021,162
Caritas Archidiecezji Katowickiej Ośrodek M.B Uzdrowienie Chorych Dom Pomocy Społecznej Knurów,,Powiat gliwicki,"Szpitalna 29,
									44-194
									Knurów",dorośli niepełnosprawni intelektualnie (Publiczny),90,2417/KR - 2021,162
Powiatowy Dom Pomocy Społecznej Feniks Skoczów,,Powiat cieszyński,"Sportowa 13,
									43-430
									Skoczów",dorośli niepełnosprawni intelektualnie oraz dzieci i młodzież niepełnosprawna intelektualnie (Publiczny),102,2419/KR - 2021,162
Dom Pomocy Społecznej Ostoja Sośnicowice,,Powiat gliwicki,"Kozielska 1,
									44-153
									Sośnicowice",dorośli niepełnosprawni intelektualnie oraz dzieci i młodzież niepełnosprawna intelektualnie (Publiczny),124,2420/KR - 2021,162
Dom Pomocy Społecznej Zameczek Lubliniec,,Powiat lubliniecki,"74 Górnośląskiego Pułku Piechoty 2,
									42-700
									Lubliniec",dorośli niepełnosprawni intelektualnie oraz dzieci i młodzież niepełnosprawna intelektualnie (Publiczny),73,2421/KR - 2021,162
Dom Pomocy Społecznej Zgromadzenia Córek Bożej Miłości Bielsko-Biała,,Bielsko-Biała,"Żywiecka 20,
									43-300
									Bielsko-Biała",dorośli niepełnosprawni intelektualnie oraz dzieci i młodzież niepełnosprawna intelektualnie (Publiczny),65,2422/KR - 2021,163
DPS Zgromadzenia Sióstr Służebniczek BDNP Skoczów,,Powiat cieszyński,"Mickiewicza 36,
									43-430
									Skoczów",dorośli niepełnosprawni intelektualnie oraz dzieci i młodzież niepełnosprawna intelektualnie (Publiczny),39,2423/KR - 2021,163
DPS dla Dzieci prowadzony przez Zgromadzenie Sióstr Szkolnych de Notre Dame Strumień,,Powiat cieszyński,"1 Maja 12,
									43-246
									Strumień",dzieci i młodzież niepełnosprawna intelektualnie (Publiczny),73,2424/KR - 2021,163
DPS dla dzieci i młodzieży niepełnosprawnych intelektualnie prowadzony przez Zakon Ojców Kamilianów Pilchowice,,Powiat gliwicki,"Damrota 7,
									44-145
									Pilchowice",dzieci i młodzież niepełnosprawna intelektualnie (Publiczny),60,2425/KR - 2021,163
DPS prowadzony przez Zgromadzenie Sióstr św. Jadwigi Pielgrzymowice,,Powiat pszczyński,"Golasowicka 15,
									43-253
									Pielgrzymowice",dzieci i młodzież niepełnosprawna intelektualnie (Publiczny),90,2426/KR - 2021,163
DPS Różany Pałac prowadzony przez Zgromadzenie Sióstr Franciszkanek Maryi Nieustającej Pomocy Krzyżanowice,,Powiat raciborski,"Kolejowa 4,
									47-450
									Krzyżanowice",dorośli niepełnosprawni intelektualnie oraz dzieci i młodzież niepełnosprawna intelektualnie (Publiczny),60,2427/KR - 2021,163
DPS prowadzony przez Zgromadzenie Sióstr Milosiedzia św. Karola Boromeusza Ruda Śląska,,Ruda Śląska,"Józefa Piłsudskiego 43,
									41-707
									Ruda Śląska",dorośli niepełnosprawni intelektualnie oraz dzieci i młodzież niepełnosprawna intelektualnie (Publiczny),48,2428/KR - 2021,163
DPS prowadzony przez Zgromadzenie Sióstr Miłosiedzia św. Karola Boromeusza Nakło Śląskie,,Powiat tarnogórski,"Główna 8,
									42-620
									Nakło Śląskie",dorośli niepełnosprawni intelektualnie oraz dzieci i młodzież niepełnosprawna intelektualnie (Publiczny),60,2429/KR - 2021,163
DPS Zgromadzenia Sióstr Opatrzności Bożej Wodzisław Śląski,,Powiat wodzisławski,"Plac Wolności 35,
									41-300
									Wodzisław Śląski",dorośli niepełnosprawni intelektualnie oraz dzieci i młodzież niepełnosprawna intelektualnie (Publiczny),56,2430/KR - 2021,163
Dom Pomocy Społecznej Najświętsze Serce Jezusa Ruda Śląska,,Ruda Śląska,"Kłodnicka 103,
									41-706
									Ruda Śląska",dorośli niepełnosprawni intelektualnie oraz dzieci i młodzież niepełnosprawna intelektualnie (Publiczny),95,2431/KR - 2021,164
Powiatowy Dom Pomocy Społecznej Pogórze z filią Bursztyn Kończyce Małe,,Powiat cieszyński,"Zamek 132,
									43-430
									Pogórze Staropolska 14,
									43-525
									Kończyce Małe",osoby dorosłe niepełnosprawne intelektualnie osoby przewlekle psychicznie chore (Publiczny),152,2471/KR - 2021,168
Dom Pomocy Społecznej Wędrowiec Bytom,,Bytom,"Księdza Jana Frenzla 204,
									41-908
									Bytom",dorośli niepełnosprawni intelektualnie (Publiczny),40,2472/KR - 2021,168
Dom Pomocy Społecznej Zameczek Kuźnia Nieborowska,,Powiat gliwicki,"Knurowska 13,
									44-144
									Kuźnia Nieborowska",dorośli niepełnosprawni intelektualnie (Publiczny),51,2473/KR - 2021,168
Dom Pomocy Społecznej Orzesze,,Powiat mikołowski,"Traugutta 45,
									43-180
									Orzesze",dorośli niepełnosprawni intelektualnie (Publiczny),90,2474/KR - 2021,168
Dom Pomocy Społecznej Miedary,,Powiat tarnogórski,"Zamkowa 7,
									42-676
									Miedary",dorośli niepełnosprawni intelektualnie (Publiczny),56,2475/KR - 2021,168
Dom Pomocy Społecznej w Izbicy Kujawskiej,,Powiat włocławski,"Narutowicza 65,
									87-865
									Izbica Kujawska",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),60,2563/KR - 2021,172
Dom Pomocy Społecznej Słoneczko w Bydgoszczy,,Bydgoszcz,"Konstantego Ildefonsa Gałczyńskiego 2,
									85-322
									Bydgoszcz",dla dzieci i młodzieży niepełnosprawnej intelektualnie (Publiczny),56,2569/KR - 2021,173
Dom Pomocy Społecznej w Toruniu,,Toruń,"Rydygiera 23,
									87-100
									Toruń",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),35,2577/KR - 2021,174
Dom Pomocy Społecznej w Wilkowiczkach,,Powiat włocławski,"Wilkowiczki 25,
									87-850
									Choceń",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),89,2582/KR - 2021,174
Dom Pomocy Społecznej w Bożenkowie,,Powiat bydgoski,"Bożenkowo,
									86-031
									Osielsko",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),70,2591/KR - 2021,175
