nazwa_instytucji,badges,lokalizacja,adres,rodzaj_dzialalnosci,ilosc_miejsc,wpis_krdo,strona
Pensjonat Radosna Jesień,,Powiat poznański,"Zalesie 6,
									62-040
									Puszczykowo",Placówka całodobowa (Prywatny),28,341/KR - 2021,74
DOM OPIEKI DLA OSÓB STARSZYCH PAŁACYK POD DĘBAMI,,Powiat kościański,"Parkowa 1,
									64-000
									Stare Oborzyska",Placówka całodobowa (Prywatny),25,342/KR - 2021,74
Prywatny Dom Opieki,,Powiat poznański,"Złota 4,
									62-030
									Luboń",Placówka całodobowa (Prywatny),9,343/KR - 2021,74
REZYDENCJA SENIORA PUSZCZYKOWO,,Powiat poznański,"3 Maja 42A,
									62-040
									Puszczykowo",Placówka całodobowa (Prywatny),68,345/KR - 2021,74
"Dom Opieki Społecznej ALPINIA s.c. Hanka Nolbrzyk, Waldemar Nolbrzyk",,Powiat leszczyński,"Leszczyńska 5D,
									64-113
									Osieczna",Placówka całodobowa (Prywatny),30,346/KR - 2021,74
Leśny Zakątek Seniora,,Powiat poznański,"Kostrzyńska 22B Brzeźno,
									62-025
									Kostrzyń",Placówka całodobowa (Prywatny),57,347/KR - 2021,74
Rodzinny Dom Opieki Społecznej,,Powiat koniński,"Wiejska 70A,
									62-580
									Grodziec",Placówka całodobowa (Prywatny),14,348/KR - 2021,74
Dom Opieki Tęczowa Dolina,,Powiat koniński,"Lisiecka 95,
									62-571
									Stare Miasto",Placówka całodobowa (Prywatny),20,349/KR - 2021,74
Dom Opieki Świerkowy Zakątek Grażyna Hetman,,Powiat poznański,"Krasickiego 6,
									62-050
									Mosina",Placówka całodobowa (Prywatny),49,350/KR - 2021,75
Dom Seniora Fundacji Zakłady Kórnickie,,Powiat średzki,"Jarosławiec 10,
									63-000
									Środa Wielkopolska",Placówka całodobowa (Prywatny),58,351/KR - 2021,75
Całodobowy Dom Opieki Przyjaciele Józefa,,Powiat szamotulski,"Szkolna 49,
									64-530
									Kaźmierz",Placówka całodobowa (Prywatny),5,352/KR - 2021,75
Dom Seniora Złoty Wiek,,Powiat nowotomyski,"Węgielnia 3B,
									64-305
									Bolewice",Placówka całodobowa (Prywatny),63,353/KR - 2021,75
Dom Seniora Bursztynowe Zacisze,,Powiat kaliski,"Leśna 1,
									62-850
									Lisków",Placówka całodobowa (Prywatny),99,355/KR - 2021,75
Dom Krótkiego Pobytu Poranek,,Poznań,"Płowiecka 15,
									60-277
									Poznań",Placówka całodobowa (Prywatny),5,356/KR - 2021,75
Prywatny Dom Opieki Ewa Kuzemko,,Powiat poznański,"Działkowa 42,
									62-090
									Kobylniki",Placówka całodobowa (Prywatny),28,357/KR - 2021,75
Dom Opieki Dębowy Gaj,,Powiat gnieźnieński,"Szczecińska 13,
									62-214
									Jankówko",Placówka całodobowa (Prywatny),84,358/KR - 2021,75
Ośrodek – Pobytowo- Rehabiliatcyjny Słoneczna w Jarocinie,,Powiat jarociński,"Aleja Niepodległości 34A,
									63-200
									Jarocin",Placówka całodobowa (Prywatny),40,359/KR - 2021,75
Dom Seniora,,Powiat gnieźnieński,"Drachowo 19,
									62-220
									Niechanowo",Placówka całodobowa (Prywatny),30,360/KR - 2021,76
Apartamenty Szczęśliwy Senior,,Kalisz,"Częstochowska 71-75,
									62-800
									Kalisz",Placówka całodobowa (Prywatny),206,361/KR - 2021,76
Dom Opieki Villa Parkowa,,Powiat koniński,"Kaliska 7A,
									62-570
									Rychwał",Placówka całodobowa (Prywatny),40,362/KR - 2021,76
Dom Seniora Pod Jednym Dachem,,Powiat wągrowiecki,"Bukowiec 7,
									62-100
									Wągrowiec",Placówka całodobowa (Prywatny),16,363/KR - 2021,76
Fundacja L’ Arche Wspólnota w Poznaniu,,Poznań,"ul. Żytnia 34,
									61-614
									Poznań ul. Polańska 13,
									61-614
									Poznań",Placówka całodobowa Placówka całodobowa (Prywatny),12,364/KR - 2021,76
Pensjonat Radosna Jesień,,Powiat poznański,"Kaźmierska 25,
									62-090
									Przybroda",Placówka całodobowa (Prywatny),30,365/KR - 2021,76
Zakład Pielęgnacyjno – Opiekuńczy Dom Opieki Pod Orzechem,,Powiat poznański,"Poznańska 66,
									61-160
									Czapury",Placówka całodobowa (Prywatny),67,366/KR - 2021,76
Dom Opieki Społecznej HOSPES HOSPITI SACER,,Powiat poznański,"Słoneczna 46,
									62-010
									Pobiedziska",Placówka całodobowa (Prywatny),18,367/KR - 2021,76
Dom Pomocy Społecznej Osiek,,Powiat rawicki,"Osiek 54,
									63-920
									Pakosław",dla osób przewlekle psychicznie chorych (Publiczny),100,369/KR - 2021,76
Dom Pomocy Społecznej Łężeczki,,Powiat międzychodzki,"Łężeczki 40,
									64-412
									Chrzypsko Wielkie",dla osób w podeszłym wieku (Publiczny),135,370/KR - 2021,77
Dom Pomocy Społecznej Łopienno,,Powiat gnieźnieński,"Łopienno 119,
									62-213
									Mieleszyn",dla dzieci i młodzieży niepełnosprawnych intelektualnie (Publiczny),50,371/KR - 2021,77
Dom Pomocy Społecznej Mościszki,,Powiat kościański,"Mościszki 37,
									64-010
									Krzywiń",dla osób przewlekle psychicznie chorych (Publiczny),97,372/KR - 2021,77
Dom Pomocy Społecznej Śrem,,Powiat śremski,"Farna 16,
									63-100
									Śrem",dla osób przewlekle somatycznie chorych (Publiczny),86,373/KR - 2021,77
Dom Pomocy Społecznej Odolanów,,Powiat ostrowski,"Raszkowska 36,
									63-430
									Odolanów",dla osób w podeszłym wieku (Publiczny),15,374/KR - 2021,77
Dom Pomocy Społecznej Mielżyn,,Powiat gnieźnieński,"Szkolna 15 Mielżyn,
									62-230
									Witkowo",- dla osób dorosłych niepełnosprawnych intelektualnie (26 miejsc) -dla dzieci i młodzieży niepełnosprawnych intelektualnie (60 miejsc) (Publiczny),86,375/KR - 2021,77
Dom Pomocy Społecznej Nowa Wieś,,Powiat szamotulski,"Szamotulska 9, Nowa Wieś,
									64-510
									Wronki",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),80,376/KR - 2021,77
Dom Pomocy Społecznej Chojno,,Powiat szamotulski,"Chojno 41a,
									64-510
									Wronki",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),65,377/KR - 2021,77
Dom Pomocy Społecznej im. Marii Kaczyńskiej Kotlin,,Powiat jarociński,"Parkowa 5,
									63-220
									Kotlin",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),123,378/KR - 2021,77
Dom Pomocy Społecznej Psarskie,,Powiat śremski,"Owocowa 8,
									63-100
									Śrem",dla osób przewlekle somatycznie chorych (Publiczny),120,379/KR - 2021,78
Dom Pomocy Społecznej Piłka – Zamyślin,,Powiat międzychodzki,"Zamyślin,
									64-400
									Międzychód",- 100 miejsc dla dorosłych niepełnosprawnych intelektualnie Oddział Piłka - 40 miejsc dla osób w podeszłym wieku Oddział Zamyślin (Publiczny),140,380/KR - 2021,78
Dom Pomocy Społecznej w Raszewy,,Powiat jarociński,"Raszewy 56,
									63-210
									Żerków Gmina",dla osób przewlekle psychicznie chorych (Publiczny),30,381/KR - 2021,78
Dom Pomocy Społecznej Senior Łubowo,,Powiat gnieźnieński,"Łubowo 14C,
									62-260
									Łubowo","Dla osób w podeszłym wieku,  dla osób przewlekle somatycznie chorych (Prywatny)",45,382/KR - 2021,78
Dom Pomocy Społecznej Koło,,Powiat kolski,"Blizna 55,
									62-600
									Koło",dla osób w podeszłym wieku (Publiczny),53,384/KR - 2021,78
Dom Pomocy Społecznej Rzadkowo,,Powiat pilski,"Rzadkowo 79,
									64-810
									Kaczory",dla dzieci i młodzieży niepełnosprawnych intelektualnie (Publiczny),66,385/KR - 2021,78
Dom Pomocy Społecznej Rogowo,,Powiat gostyński,"Rogowo 24,
									63-840
									Krobia",dla osób przewlekle psychicznie chorych (Publiczny),97,386/KR - 2021,78
Dom Pomocy Społecznej Kalisz,,Kalisz,"Winiarska 26,
									62-800
									Kalisz",dla osób przewlekle somatycznie chorych (Publiczny),180,387/KR - 2021,78
Dom Pomocy Społecznej Kobyla Góra,,Powiat ostrzeszowski,"Tomasza Sikorskiego 1,
									63-507
									Kobyla Góra",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),156,388/KR - 2021,78
Dom Pomocy Społecznej Kochłowy,,Powiat ostrzeszowski,"Kochłowy 1,
									63-500
									Ostrzeszów",dla osób przewlekle psychicznie chorych (Publiczny),80,389/KR - 2021,79
Dom Pomocy Społecznej Falmierowo,,Powiat pilski,"Falmierowo 1,
									89-311
									Wyrzysk",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),80,390/KR - 2021,79
Dom Pomocy Społecznej Marszałki,,Powiat ostrzeszowski,"Marszałki 15,
									63-520
									Grabów nad Prosną",dla osób przewlekle somatycznie chorych (Publiczny),140,391/KR - 2021,79
Dom Pomocy Społecznej w Wieleniu,,Powiat czarnkowsko-trzcianecki,"Fryderyka Chopina 9,
									64-730
									Wieleń",dla osób przewlekle psychicznie chorych (Publiczny),68,392/KR - 2021,79
Dom Pomocy Społecznej Skęczyniew,,Powiat turecki,"Skęczniew 58,
									62-730
									Dobra",dla osób przewlekle psychicznie chorych (Publiczny),210,393/KR - 2021,79
Dom Pomocy Społecznej Konin,,Konin,"Południowa 1,
									62-510
									Konin",dla osób przewlekle somatycznie chorych (Publiczny),115,394/KR - 2021,79
Dom Pomocy Społecznej Dębno,,Powiat pilski,"Dębno 27,
									89-310
									Łobżenica",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),120,395/KR - 2021,79
Dom Pomocy Społecznej Ślesin,,Powiat koniński,"Kościelna 46,
									62-561
									Ślesin",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),100,396/KR - 2021,79
Dom Pomocy Społecznej Lisówki,,Powiat poznański,"Leśne Zacisze 2, Lisówki,
									62-070
									Dopiewo",dla osób w podeszłym wieku (Publiczny),100,397/KR - 2021,79
Dom Pomocy Społecznej Chlebno,,Powiat pilski,"Chlebno 8,
									89-310
									Łobżenica",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),80,398/KR - 2021,80
Dom Pomocy Społecznej Rzetnia,,Powiat kępiński,"Rzetnia 87,
									63-600
									Kępno",dla osób przewlekle somatycznie chorych (Publiczny),64,399/KR - 2021,80
Dom Pomocy Społecznej Poznań,,Poznań,"Stanisława Konarskiego 11/13,
									61-114
									Poznań Zamenhofa 142A,
									61-139
									Poznań",dla osób przewlekle somatycznie chorych dla osób przewlekle somatycznie chorych (Publiczny),170,400/KR - 2021,80
Dom Pomocy Społecznej Poznań,,Poznań,"Bukowska 27/29,
									60-501
									Poznań",dla osób w podeszłym wieku (Publiczny),140,401/KR - 2021,80
Dom Pomocy Społecznej im. Bł. Edmunda Bojanowskiego Poznań,,Poznań,"Mieczysława Niedziałkowskiego 22,
									61-578
									Poznań",dla osób przewlekle somatycznie chorych (Publiczny),35,402/KR - 2021,80
Dom Pomocy Społecznej Poznań,,Poznań,"Ugory 18/20,
									61-623
									Poznań",- 116 miejsc dla osób w podeszłym wieku - 20 miejsc dla osób niepełnosprawnych fizycznie (Publiczny),136,403/KR - 2021,80
Dom Pomocy Społecznej Zimnowoda,,Powiat gostyński,"Zimnowoda 17,
									63-810
									Borek Wielkopolski",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),67,404/KR - 2021,80
Dom Pomocy Społecznej Strzałkowo,,Powiat słupecki,"Pułaskiego 1,
									62-420
									Strzałkowo",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),130,405/KR - 2021,80
Dom Pomocy Społecznej Broniszewice,,Powiat pleszewski,"Broniszewice 91,
									63-304
									Czermin",dla dzieci i młodzieży niepełnosprawnych intelektualnie (Publiczny),56,406/KR - 2021,80
Dom Pomocy Społecznej Jarogniewice,,Powiat kościański,"Poznańska 25,
									64-020
									Czempiń",dla osób niepełnosprawnych fizycznie (Publiczny),72,407/KR - 2021,81
Dom Pomocy Społecznej Zagórów,,Powiat słupecki,"Konstantego Lidmanowskiego 4,
									62-410
									Zagórów",dla osób przewlekle somatycznie chorych (Publiczny),80,408/KR - 2021,81
Dom Pomocy Społecznej Lisków,,Powiat kaliski,"Księdza Wacława Blizińskiego 96,
									62-850
									Lisków",dla osób w podeszłym wieku (Publiczny),40,409/KR - 2021,81
Dom Pomocy Społecznej Poznań,,Poznań,"Pokrzywno 1,
									61-315
									Poznań",dla osób w podeszłym wieku (Publiczny),35,410/KR - 2021,81
Dom Pomocy Społecznej Pleszew,,Powiat pleszewski,"Plac Wolności Imienia Jana Pawła II 5,
									63-300
									Pleszew",– 148 miejsc dla osób przewlekle somatycznie chorych – 193 miejsca dla osób przewlekle psychicznie chorych (Publiczny),341,411/KR - 2021,81
Dom Pomocy Społecznej im. Jana Pawła II Piła,,Powiat pilski,"11 Listopada 40,
									64-920
									Piła",dla osób przewlekle somatycznie chorych (Publiczny),70,412/KR - 2021,81
Dom Pomocy Społecznej Poznań,,Poznań,"Świętego Rocha 13,
									61-142
									Poznań",dla dzieci i młodzieży niepełnosprawnych intelektualnie (Publiczny),60,413/KR - 2021,81
Dom Pomocy Społecznej Września,,Powiat wrzesiński,"Szkolna 25,
									62-300
									Września",dla osób przewlekle somatycznie chorych (Publiczny),45,414/KR - 2021,81
Dom Pomocy Społecznej Srebrna Góra,,Powiat wągrowiecki,"Srebrna Góra 62,
									62-120
									Wapno",dla osób w podeszłym wieku (Publiczny),60,415/KR - 2021,81
Dom Pomocy Społecznej Poznań,,Poznań,"Sielska 13,
									60-129
									Poznań Mińska 14,
									61-049
									Poznań",dla osób przewlekle somatycznie chorych dla osób przewlekle somatycznie chorych (Publiczny),140,416/KR - 2021,82
Dom Pomocy Społecznej Wielka Wieś,,Powiat wolsztyński,"Wielka Wieś 47,
									64-225
									Kopanica",- dla dzieci i młodzieży niepełnosprawnych intelektualnie (53 miejsca) - dla osób dorosłych niepełnosprawnych intelektualnie (7 miejsc) (Publiczny),60,418/KR - 2021,82
Zespół Domów Pomocy Społecznej Wieleń,,Powiat czarnkowsko-trzcianecki,"Stanisława Staszica 2,
									64-730
									Wieleń",- dla osób w podeszłym wieku (74 miejsca) - dla osób przewlekle somatycznie chorych (100 miejsc) - dla dorosłych niepełnosprawnych intelektualnie (80 miejsc) - dla osób niepełnosprawnych fizycznie (100 miejsc) (Publiczny),354,419/KR - 2021,82
Dom Pomocy Społecznej Psary,,Powiat ostrowski,"Kaliska 3,
									63-405
									Sieroszewice",dla osób przewlekle psychicznie chorych (Publiczny),166,420/KR - 2021,82
Dom Pomocy Społecznej im. s. M. Benodyny Koterbianki Ostrów Wielkopolski,,Powiat ostrowski,"Partyzancka 8,
									63-400
									Ostrów Wielkopolski",dla osób przewlekle somatycznie chorych (Publiczny),44,421/KR - 2021,82
Dom Pomocy Społecznej Trzcianka,,Powiat czarnkowsko-trzcianecki,"27 Stycznia 41,
									64-980
									Trzcianka",dla osób przewlekle psychicznie chorych (Publiczny),100,422/KR - 2021,82
Dom Pomocy Społecznej Chodzież,,Powiat chodzieski,"Ujska 47,
									64-800
									Chodzież",dla osób przewlekle somatycznie chorych (Publiczny),120,423/KR - 2021,82
Dom Pomocy Społecznej Leszno,,Leszno,"Janusza Korczaka 1,
									64-100
									Leszno",dla osób w podeszłym wieku (Publiczny),36,424/KR - 2021,82
Dom Pomocy Społecznej Skubarczewo,,Powiat słupecki,"Skubarczewo 4,
									62-436
									Orchowo",dla osób przewlekle psychicznie chorych (Publiczny),51,426/KR - 2021,82
Dom Pomocy Społecznej im. Małżonków Terakowskich Gniezno,,Powiat gnieźnieński,"Wrzesińska 21,
									62-200
									Gniezno",dla osób w podeszłym wieku (Publiczny),71,427/KR - 2021,83
Dom Pomocy Społecznej Zduny,,Powiat krotoszyński,"Mickiewicza 21,
									63-760
									Zduny",dla dzieci i młodzieży niepełnosprawnych intelektualnie (Publiczny),70,428/KR - 2021,83
Dom Pomocy Społecznej Chumiętki,,Powiat gostyński,"Chumiętki 22,
									63-840
									Krobia",dla osób przewlekle somatycznie chorych (Publiczny),114,429/KR - 2021,83
Dom Pomocy Społecznej Chwałkowo,,Powiat gostyński,"Chwałkowo 74,
									63-840
									Krobia",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),96,430/KR - 2021,83
Dom Pomocy Społecznej Koło,,Powiat kolski,"Józefa Poniatowskiego 21,
									62-600
									Koło",dla osób przewlekle somatycznie chorych (Publiczny),113,431/KR - 2021,83
Dom Pomocy Społecznej Baszków,,Powiat krotoszyński,"Baszków 112,
									63-760
									Zduny",141 miejsc dla osób przewlekle somatycznie chorych 55 miejsc dla osób przewlekle psychicznie chorych (Publiczny),196,432/KR - 2021,83
Dom Pomocy Społecznej Gębice,,Powiat czarnkowsko-trzcianecki,"Kasztanowa 45,
									64-707
									Gębice",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),63,433/KR - 2021,83
Dom Pomocy Społecznej Miłosierny Samarytanin,,Powiat wielicki,"Grabie 28 ,
									32-002 
									Węgrzce Wielkie",dla osób przewlekle somatycznie chorych (Publiczny),39,434/KR - 2021,83
Dom Pomocy Społecznej Śledziejowice,,Powiat wielicki,"Śledziejowice 83,
									32-020
									Wieliczka",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),12,435/KR - 2021,83
Dom Pomocy Społecznej Sułków,,Powiat wielicki,"Sułków 278,
									32-020
									Wieliczka",dla osób przewlekle psychicznie chorych (Publiczny),60,436/KR - 2021,84
Dom Pomocy Społecznej Staniątki,,Powiat wielicki,"Staniątki 287,
									32-005
									Niepołomice",dla osób przewlekle somatycznie chorych (Publiczny),24,437/KR - 2021,84
"Dom Pomocy Społecznej dla Dzieci, Młodzieży i Dorosłych Niepełnosprawnych Intelektualnie Tarnów",,Tarnów,"Robotnicza 4 ,
									33-100 
									Tarnów",dla dzieci i młodzieży niepełnosprawnych intelektualnie 56 miejsc dla osób dorosłych niepełnosprawnych intelektualnie - 24 miejsca (Publiczny),80,438/KR - 2021,84
Dom Pomocy Społecznej im. bł. Matki Teresy z Kalkuty,,Powiat proszowicki,"Pieczonogi 54 ,
									32-109 
									Pałecznica",dla osób przewlekle somatycznie chorych (Prywatna/Publiczna),30,439/KR - 2021,84
Dom Pomocy Społecznej dla Dzieci  i Młodzieży Niepełnosprawnych Intelektualnie  w Białce Tatrzańskiej,,Powiat tatrzański,"Środkowa 186 ,
									34-405 
									Białka Tatrzańska",dla dzieci i młodzieży niepełnosprawnych intelektualnie (Publiczny),83,440/KR - 2021,84
Dom Pomocy Społecznej Bobrek,,Powiat oświęcimski,"Księżnej Ogińskiej 2,
									32-661
									Bobrek",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),190,441/KR - 2021,84
Dom Pomocy Społecznej Braci Albertynów,,Powiat oświęcimski,"Błogosławionej Faustyny 4,
									32-652
									Bulowice",dla osób przewlekle psychicznie chorych (Publiczny),81,442/KR - 2021,84
Dom Pomocy Społecznej Caritas Archidiecezji Krakowskiej,,Powiat oświęcimski,"Jana Pawła II 3,
									32-640
									Zator",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),52,443/KR - 2021,84
Dom Pomocy Społecznej im. Adama Chmielowskiego,,Powiat proszowicki,"Łyszkowice 64,
									32-104
									Koniusza",dla osób przewlekle psychicznie chorych (Publiczny),145,444/KR - 2021,84
Dom Pomocy Społecznej dla Dzieci i Młodzieży w Jordanowie,,Powiat suski,"Rynek 45,
									34-240
									Jordanów",dla dzieci i młodzieży niepełnosprawnych intelektualnie (Publiczny),50,445/KR - 2021,85
Dom Pomocy Społecznej w Łętowni,,Powiat suski,"Łętownia 353,
									34-242
									Łętownia",dla osób w podeszłym wieku - 51 miejsc dla osób niepełnosprawnych fizyczne - 15 miejsc (Zakład Opiekuńczo - Leczniczy),65,446/KR - 2021,85
Dom Pomocy Społecznej Maków Podhalański,,Powiat suski,"Żeromskiego 17,
									34-220
									Maków Podhalański",dla osób przewlekle psychicznie chorych (Publiczny),75,447/KR - 2021,85
Dom Pomocy Społecznej im. Świętego Brata Alberta,,Tarnów,"Szpitalna 53,
									33-100
									Tarnów",dla osób przewlekle somatycznie chorych - 154 miejsca dla osób w podeszłym wieku - 10 miejsc (Publiczny),164,448/KR - 2021,85
Dom Pomocy Społecznej Tarnów,,Tarnów,"Czarna Droga 48,
									33-100
									Tarnów",dla osób w podeszłym wieku (Publiczny),87,449/KR - 2021,85
Dom Pomocy Społecznej przy PSONI – Koło w Tarnowie,,Tarnów,"Heleny Modrzejewskiej 48,
									33-100
									Tarnów",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),17,450/KR - 2021,85
Dom Pomocy Społecznej Karwodrza,,Powiat tarnowski,"Karwodrza 116,
									33-170
									Tuchów",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),80,451/KR - 2021,85
Dom Pomocy Społecznej Sieradza,,Powiat tarnowski,"Sieradza 208,
									33-240
									Żabno",dla osób przewlekle psychicznie chorych (Publiczny),85,452/KR - 2021,85
Dom Pomocy Społecznej w Stróżach,,Powiat tarnowski,"Stróże 1,
									32-840
									Zakliczyn",dla osób przewlekle psychicznie chorych (Publiczny),108,453/KR - 2021,85
Dom Pogodnej Jesieni,,Powiat tarnowski,"Świętego Józefa 9,
									33-170
									Tuchów",dla osób przewlekle somatycznie chorych (Publiczny),52,454/KR - 2021,86
Dom Pomocy Społeczneje Wietrzychowice,,Powiat tarnowski,"Wietrzychowice 9,
									33-270
									Wietrzychowice",dla osób przewlekle somatycznie chorych (Publiczny),80,455/KR - 2021,86
Dom Pomocy Społecznej Dom Pogodnej Jesieni,,Powiat tarnowski,"Grabina 11,
									32-840
									Zakliczyn",dla osób przewlekle somatycznie chorych (Publiczny),57,456/KR - 2021,86
Dom Pomocy Społecznej Jadowniki Mokre,,Powiat tarnowski,"Jadowniki Mokre 340,
									33-271
									Jadowniki Mokre",dla dzieci i młodzieży niepełnosprawnych intelektualnie (Publiczny),16,457/KR - 2021,86
Dom Pomocy Społecznej Nowodworze,,Powiat tarnowski,"Nowodworze 64,
									33-112
									Tarnowiec",dla osób przewlekle psychicznie chorych (Publiczny),142,458/KR - 2021,86
Dom Pomocy Społecznej im. Jana Pawła II,,Powiat tatrzański,"Szpitalna 21,
									34-500
									Zakopane",dla osób w podeszłym wieku - 25 miejsc dla osób przewlekle somatycznie chorych - 45 miejsc (Publiczny),70,459/KR - 2021,86
Dom Pomocy Społecznej Wadowice,,Powiat wadowicki,"Parkowa 1,
									34-100
									Wadowice",dla osób w podeszłym wieku (Publiczny),85,460/KR - 2021,86
Dom Pomocy Społecznej im. św. O. Rafała Kalinowskiego,,Powiat wadowicki,"Pułaskiego 5,
									34-100
									Wadowice",dla osób przewlekle psychicznie chorych (Publiczny),114,461/KR - 2021,86
"Dom Pomocy Społecznej prowadzony przez Zgromadzenie Sióstr Najświętszej Rodziny z Nazaretu, Prowincja Krakowska",,Powiat wadowicki,"Lwowska 31,
									34-100
									Wadowice",dla dzieci i młodzieży niepełnosprawnych intelektualnie - 60 miejsc dla osób dorosłych niepełnosprawnych - 10 miejsc (Publiczny),70,462/KR - 2021,86
Dom Pomocy Społecznej im. św. Brata Alberta,,Powiat wadowicki,"Dworska 150,
									34-144
									Izdebnik",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),78,463/KR - 2021,87
Dom Pomocy Społecznej w Zebrzydowicach,,Powiat wadowicki,"Zebrzydowice 1,
									34-130
									Kalwaria Zebrzydowska",dla osób przewlekle psychicznie chorych (Publiczny),67,464/KR - 2021,87
Dom Pomocy Społecznej Caritas Archidiecezji Krakowskiej,,Powiat wielicki,"Biskupice 5,
									32-020
									Wieliczka",dla osób w podeszłym wieku- 60 miejsc dla osób przewlekle somatycznie chorych - 15 miejsc (Publiczny),75,465/KR - 2021,87
Dom Pomocy Społecznej im. św. Siostry Faustyny Kowalskiej,,Powiat nowotarski,"Raba Wyżna 435a,
									34-721 
									Raba Wyżna",dla osób w podeszłym wieku - 10 miejsc dla osób przewlekle somatycznie chorych - 24 miejsca (Publiczny),34,466/KR - 2021,87
Dom Pomocy Społecznej Więckowice,,Powiat krakowski,"Słoneczna 3,
									32-082
									Więckowice",dla osób przewlekle psychicznie chorych (Publiczny),149,467/KR - 2021,87
Małopolski Dom Pomocy Społecznej Na Farmie Życia w Więckowicach,,Powiat krakowski,"Ogrodowa 17A,
									32-082
									Bolechowice",dla osób dorosłych niepełnosprawnych intelektualnie (Publiczny),13,468/KR - 2021,87
Dom Pomocy Społecznej Limanowa,,Powiat limanowski,"Wincentego Witosa 24/26,
									34-600
									Limanowa",dla osób przewlekle somatycznie chorych (Publiczny),60,469/KR - 2021,87
Dom Pomocy Społecznej Mszana Dolna,,Powiat limanowski,"Franka Rakoczego 9,
									34-730
									Mszana Dolna",dla osób przewlekle psychicznie chorych (Publiczny),48,470/KR - 2021,87
Dom Pomocy Społecznej Diana,,Powiat limanowski,"Kasina Wielka 448,
									34-741
									Kasina Wielka",dla osób przewlekle psychicznie chorych (Publiczny),100,471/KR - 2021,87
Dom Pomocy Społecznej Raba Niżna,,Powiat limanowski,"Raba Niżna 1,
									34-730
									Mszana Dolna",dla osób przewlekle psychicznie chorych (Publiczny),90,472/KR - 2021,88
Dom Pomocy Społecznej w Szczyrzycu,,Powiat limanowski,"Szczyrzyc 182,
									34-623
									Szczyrzyc",dla osób przewlekle psychicznie chorych (Publiczny),99,473/KR - 2021,88
Dom Pomocy Społecznej w Mianocicach,,Powiat miechowski,"Mianocice 51,
									32-210
									Książ Wielki",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),90,474/KR - 2021,88
Dom Pomocy Społecznej Miechów,,Powiat miechowski,"Warszawska 49A,
									32-200
									Miechów",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),90,475/KR - 2021,88
Dom Pomocy Społecznej BETANIA,,Powiat miechowski,"ks. Skorupki 19,
									32-200
									Miechów",dla osób przewlekle somatycznie chorych - 62 miejsca dla osób w podeszłym wieku - 9 miejsc (Publiczny),71,476/KR - 2021,88
Caritas Kielecka Dom Opieki w Charsznicy,,Powiat miechowski,"Młyńska 2,
									32-250
									Charsznica",dla osób w podeszłym wieku (Publiczny),30,477/KR - 2021,88
Dom Pomocy Społecznej Dom Kombatanta,,Powiat miechowski,"Szpitalna 1B,
									32-200
									Miechów",dla osób w podeszłym wieku (Publiczny),50,478/KR - 2021,88
Dom Pomocy Społecznej im. Tadeusza Piekarza Harbutowice,,Powiat myślenicki,"Harbutowice 1,
									32-440
									Sułkowice",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),75,479/KR - 2021,88
Dom Pomocy Społecznej Pcim,,Powiat myślenicki,"Pcim 638,
									32-432
									Pcim",dla osób w podeszłym wieku - 19 miejsc dla osób przewlekle somatycznie chorych - 36 miejsc (Publiczny),60,480/KR - 2021,88
Dom Pomocy Społecznej Biały Potok,,Powiat myślenicki,"Trzemeśnia 377,
									32-425
									Trzemeśnia",dla osób przewlekle psychicznie chorych (Publiczny),76,481/KR - 2021,89
Dom Pomocy Społecznej Nowy Sącz,,Nowy Sącz,"Nawojowska 155,
									33-300
									Nowy Sącz",dla osób przewlekle psychicznie chorych (Publiczny),170,482/KR - 2021,89
Dom Pomocy Społecznej Nowy Sącz,,Nowy Sącz,"Nawojowska 155,
									33-300
									Nowy Sącz",dla osób przewlekle psychicznie chorych (Publiczny),91,483/KR - 2021,89
Dom Pomocy Społecznej Nowy Sącz,,Nowy Sącz,"Emilii Plater 20,
									33-300
									Nowy Sącz",dla osób w podeszłym wieku (Publiczny),72,484/KR - 2021,89
Dom Pomocy Społecznej Muszyna,,Powiat nowosądecki,"Zielona 26,
									33-370
									Muszyna",dla osób przewlekle somatycznie chorych (Publiczny),65,485/KR - 2021,89
